Date,Team,Location,FGA,FG%,3PA,3P%,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Result
10/25/2023,Celtics,Away,77,0.481,39,0.308,26,0.846,7,39,46,18,6,11,13,22,108,W
10/25/2023,Knicks,Home,97,0.371,41,0.439,26,0.538,17,30,47,24,9,0,11,22,104,L
10/27/2023,Celtics,Home,95,0.474,39,0.410,19,0.684,16,39,55,20,7,6,15,19,119,W
10/27/2023,Heat,Away,89,0.427,33,0.485,23,0.826,11,34,45,24,8,6,12,16,111,L
10/30/2023,Celtics,Away,102,0.500,53,0.358,7,0.714,15,36,51,31,11,6,18,21,126,W
10/30/2023,Wizards,Home,87,0.448,36,0.306,26,0.692,11,29,40,26,12,4,15,13,107,L
11/1/2023,Celtics,Home,95,0.568,35,0.571,28,0.964,11,46,57,27,5,2,13,19,155,W
11/1/2023,Pacers,Away,101,0.455,37,0.135,12,0.583,8,23,31,26,6,6,9,20,104,L
11/4/2023,Celtics,Away,90,0.478,45,0.333,27,0.852,10,40,50,22,4,6,11,17,124,W
11/4/2023,Nets,Home,100,0.430,52,0.327,17,0.647,10,32,42,22,4,5,6,21,114,L
11/6/2023,Celtics,Away,92,0.391,39,0.282,34,0.765,11,34,45,20,13,2,18,26,109,L
11/6/2023,Timberwolves,Home,85,0.518,37,0.351,25,0.520,6,39,45,26,7,5,24,26,114,W
11/8/2023,Celtics,Away,91,0.396,47,0.319,19,0.842,9,34,43,28,8,6,13,13,103,L
11/8/2023,76ers,Home,95,0.442,34,0.265,15,0.867,12,44,56,20,7,7,14,16,106,W
11/10/2023,Celtics,Home,94,0.436,52,0.365,28,0.714,17,35,52,29,5,3,8,13,121,W
11/10/2023,Nets,Away,85,0.447,37,0.405,18,0.889,9,37,46,26,0,3,12,25,107,L
11/11/2023,Celtics,Home,86,0.547,44,0.341,13,0.615,5,41,46,30,1,4,13,14,117,W
11/11/2023,Raptors,Away,91,0.385,37,0.270,16,0.875,7,30,37,25,8,1,9,14,94,L
11/13/2023,Celtics,Home,79,0.506,43,0.442,16,0.938,8,29,37,27,3,3,11,22,114,W
11/13/2023,Knicks,Away,79,0.418,35,0.429,24,0.708,12,25,37,17,5,2,12,16,98,L
11/15/2023,Celtics,Away,88,0.477,50,0.360,19,0.789,12,33,45,23,7,8,10,15,117,W
11/15/2023,76ers,Home,85,0.459,30,0.367,22,0.818,10,31,41,18,5,1,9,14,107,L
11/17/2023,Celtics,Away,92,0.457,46,0.348,9,0.889,8,36,44,29,5,4,11,13,108,W
11/17/2023,Raptors,Home,87,0.483,33,0.364,14,0.643,5,36,41,29,4,1,13,11,105,L
11/19/2023,Celtics,Away,77,0.455,31,0.387,25,0.800,9,36,45,20,6,10,17,19,102,W
11/19/2023,Grizzlies,Home,95,0.389,44,0.386,10,0.900,14,28,42,28,7,5,11,21,100,L
11/20/2023,Celtics,Away,97,0.433,50,0.320,28,0.643,11,37,48,19,6,8,15,15,118,L
